               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.012945,           0.0041489,          0.00031571,             0.99139,             0.98798,             0.99189,              0.8092,             0.01665,           0.0036726,           0.0016684,           0.0037506,           0.0037506,           0.0037506
                 103,            0.012785,           0.0041128,          0.00038449,             0.99109,             0.98857,             0.99135,             0.81043,            0.016717,             0.00368,           0.0017348,           0.0036888,           0.0036888,           0.0036888
                 104,            0.012601,           0.0040442,          0.00036413,             0.98951,             0.98723,             0.99191,             0.81476,             0.01662,           0.0037222,           0.0017887,           0.0036269,           0.0036269,           0.0036269
                 105,            0.012732,           0.0040433,          0.00038593,             0.98984,             0.98911,             0.99217,             0.80909,            0.016671,           0.0037008,           0.0016079,            0.003565,            0.003565,            0.003565
                 106,            0.012454,            0.004039,          0.00033576,             0.99099,             0.98577,             0.99153,             0.81097,            0.016679,            0.003709,           0.0017858,           0.0035031,           0.0035031,           0.0035031
                 107,             0.01236,           0.0041121,          0.00031152,             0.98982,             0.98891,             0.99158,             0.81063,            0.016649,           0.0036814,           0.0017875,           0.0034413,           0.0034413,           0.0034413
                 108,            0.012232,           0.0040555,          0.00027243,             0.99112,             0.98889,             0.99327,              0.8113,            0.016597,           0.0036906,           0.0018566,           0.0033794,           0.0033794,           0.0033794
                 109,            0.012253,           0.0040545,          0.00030565,             0.99162,             0.98805,             0.99315,             0.80933,            0.016504,           0.0036936,           0.0018447,           0.0033175,           0.0033175,           0.0033175
                 110,            0.012229,           0.0039835,          0.00033012,             0.99169,             0.98757,              0.9922,             0.81304,             0.01647,           0.0037044,           0.0016396,           0.0032556,           0.0032556,           0.0032556
                 111,            0.012212,           0.0039915,          0.00024219,             0.99014,             0.98819,             0.99352,             0.81433,            0.016398,           0.0036675,           0.0016813,           0.0031938,           0.0031938,           0.0031938
                 112,            0.012134,           0.0040029,          0.00027873,             0.98994,              0.9894,              0.9926,             0.81208,            0.016446,            0.003663,           0.0016462,           0.0031319,           0.0031319,           0.0031319
                 113,            0.012067,           0.0039424,          0.00030816,             0.99017,             0.98793,             0.99226,             0.81243,            0.016434,           0.0036889,           0.0016024,             0.00307,             0.00307,             0.00307
                 114,            0.011992,           0.0039762,          0.00027065,              0.9925,             0.98792,             0.99348,             0.81381,            0.016402,           0.0036879,           0.0016439,           0.0030081,           0.0030081,           0.0030081
                 115,            0.011734,           0.0038389,          0.00028138,             0.98807,             0.99262,             0.99279,             0.81684,             0.01641,           0.0036713,           0.0015513,           0.0029462,           0.0029462,           0.0029462
                 116,            0.011625,           0.0037649,          0.00026201,             0.99176,             0.99089,             0.99331,             0.81469,            0.016355,           0.0036793,            0.001448,           0.0028844,           0.0028844,           0.0028844
                 117,            0.011759,           0.0038794,           0.0002848,             0.99006,              0.9899,             0.99219,              0.8152,            0.016418,           0.0036898,           0.0015393,           0.0028225,           0.0028225,           0.0028225
                 118,             0.01156,           0.0038492,           0.0002038,             0.99162,             0.98874,             0.99318,             0.81363,            0.016447,           0.0037153,           0.0017172,           0.0027606,           0.0027606,           0.0027606
                 119,            0.011548,           0.0038824,          0.00022221,             0.99085,              0.9899,             0.99286,             0.81089,            0.016558,           0.0036988,           0.0016841,           0.0026987,           0.0026987,           0.0026987
                 120,            0.011379,           0.0038551,          0.00027808,             0.99246,             0.98792,             0.99237,             0.81091,             0.01651,           0.0037051,           0.0017534,           0.0026369,           0.0026369,           0.0026369
                 121,            0.011303,           0.0037323,          0.00022469,             0.99139,             0.98891,             0.99203,             0.81232,            0.016563,            0.003733,           0.0018202,            0.002575,            0.002575,            0.002575
