               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.013877,           0.0042419,          0.00042742,             0.99015,             0.98971,             0.98999,             0.80898,            0.016566,           0.0035992,           0.0015318,           0.0051119,           0.0051119,           0.0051119
                  81,            0.013816,           0.0042506,          0.00040592,             0.98984,             0.98884,             0.99069,             0.81174,             0.01662,           0.0036397,           0.0015486,             0.00505,             0.00505,             0.00505
                  82,            0.013973,           0.0041848,          0.00051181,             0.99058,              0.9899,             0.99278,             0.81322,            0.016485,           0.0036474,           0.0016021,           0.0049881,           0.0049881,           0.0049881
                  83,            0.013534,           0.0041268,          0.00048288,             0.98963,             0.98884,             0.99168,             0.81134,            0.016565,            0.003628,            0.001575,           0.0049263,           0.0049263,           0.0049263
                  84,            0.013534,           0.0042395,          0.00043035,             0.99242,             0.98733,             0.99091,             0.80834,            0.016523,           0.0036447,           0.0013945,           0.0048644,           0.0048644,           0.0048644
                  85,            0.013369,           0.0041137,          0.00040303,             0.99469,              0.9907,             0.99218,              0.8119,            0.016313,            0.003638,           0.0013472,           0.0048025,           0.0048025,           0.0048025
                  86,            0.013544,           0.0040825,            0.000465,             0.99479,             0.99013,             0.99149,             0.81826,            0.016384,           0.0036524,            0.001311,           0.0047406,           0.0047406,           0.0047406
                  87,            0.013354,           0.0040565,          0.00038158,             0.99358,             0.98984,             0.98952,             0.81372,            0.016456,            0.003628,           0.0013462,           0.0046788,           0.0046788,           0.0046788
                  88,            0.013573,           0.0041886,          0.00044211,             0.99314,              0.9876,             0.98954,             0.81553,             0.01642,           0.0036601,           0.0013467,           0.0046169,           0.0046169,           0.0046169
                  89,            0.013131,           0.0039843,          0.00032235,             0.99357,             0.98998,              0.9905,              0.8154,            0.016315,           0.0036072,           0.0013272,            0.004555,            0.004555,            0.004555
                  90,             0.01325,           0.0040173,          0.00039504,             0.98984,             0.99081,             0.99209,             0.81406,            0.016245,           0.0036014,           0.0013942,           0.0044931,           0.0044931,           0.0044931
                  91,            0.013086,            0.003989,          0.00032609,             0.99145,             0.99082,             0.99126,             0.81553,            0.016351,           0.0036111,           0.0013572,           0.0044313,           0.0044313,           0.0044313
                  92,            0.013001,           0.0039033,          0.00030748,             0.99131,             0.98763,             0.99006,             0.81496,            0.016299,           0.0036563,           0.0015135,           0.0043694,           0.0043694,           0.0043694
                  93,            0.012912,           0.0039771,          0.00035659,             0.99211,             0.98936,             0.99073,             0.81551,             0.01633,           0.0036354,           0.0015758,           0.0043075,           0.0043075,           0.0043075
                  94,             0.01286,           0.0039598,          0.00037342,              0.9933,             0.98891,             0.99117,             0.81235,            0.016455,            0.003645,           0.0016278,           0.0042456,           0.0042456,           0.0042456
                  95,            0.013026,           0.0040003,            0.000325,             0.99202,              0.9899,             0.99134,             0.81314,             0.01637,           0.0036388,           0.0015873,           0.0041837,           0.0041837,           0.0041837
                  96,            0.012665,           0.0038991,          0.00034779,             0.98973,             0.99089,             0.99144,              0.8125,            0.016482,           0.0036392,            0.001577,           0.0041219,           0.0041219,           0.0041219
                  97,            0.012604,           0.0039262,          0.00036899,             0.99234,              0.9899,             0.99147,             0.81362,            0.016447,           0.0036441,           0.0015449,             0.00406,             0.00406,             0.00406
                  98,            0.012408,           0.0039009,          0.00029763,             0.99165,             0.98861,             0.98955,             0.81599,             0.01647,           0.0036915,           0.0014389,           0.0039981,           0.0039981,           0.0039981
                  99,             0.01266,           0.0039247,           0.0003691,              0.9915,             0.98724,             0.98979,             0.81432,             0.01636,           0.0036119,           0.0016248,           0.0039362,           0.0039362,           0.0039362
                 100,             0.01239,           0.0039002,           0.0003624,             0.98945,             0.98884,             0.98977,             0.81596,            0.016477,           0.0036572,           0.0015316,           0.0038744,           0.0038744,           0.0038744
                 101,            0.012343,           0.0039401,          0.00033955,             0.99033,             0.98687,             0.98992,             0.81457,            0.016442,           0.0036584,           0.0017169,           0.0038125,           0.0038125,           0.0038125
                 102,            0.012312,           0.0038502,           0.0003957,             0.99251,              0.9889,             0.98962,             0.81759,            0.016318,           0.0036355,           0.0014987,           0.0037506,           0.0037506,           0.0037506
                 103,            0.012162,           0.0038058,          0.00034196,             0.98966,             0.98666,             0.98988,             0.81363,            0.016428,           0.0036418,           0.0016181,           0.0036888,           0.0036888,           0.0036888
